sell_closed,sell_opened,market,units_sold,sell_price,sell_commission,units_bought,buy_price,buy_commission,profit
2017-10-31T16:16:01.847,2017-10-31T16:05:03.32,BTC-SNRG,158.41835118,0.00032192,0.00012749,158.41835118,0.00031561,0.00012499,0.0007471400000000003
2017-10-30T18:05:15.383,2017-10-30T18:05:03.447,BTC-XVC,473.48484848,0.0001077,0.00012749,473.48484848,0.00010559,0.00012499,0.000746570000000002
2017-10-30T17:05:24.83,2017-10-30T17:05:03.047,BTC-XVC,533.95984621,9.55e-05,0.00012749,533.95984621,9.363e-05,0.00012499,0.0007460300000000017
2017-10-30T14:09:02.21,2017-10-30T13:05:03.417,BTC-GRS,307.73965225,6.627e-05,5.098e-05,307.73965225,6.497e-05,4.998e-05,0.0003019600000000004
2017-10-30T12:12:17.133,2017-10-30T12:05:02.687,BTC-KORE,19.22965982,0.00106085,5.099e-05,19.22965982,0.00104005,4.999e-05,0.00029900999999999886
2017-10-30T16:00:37.18,2017-10-30T11:05:03.517,BTC-AUR,180.22889069,0.00011317,5.099e-05,180.22889069,0.00011096,4.997e-05,0.00029736
2017-10-31T18:44:37.733,2017-10-30T09:15:01.923,BTC-NLG,1219.51219512,1.671e-05,5.096e-05,1219.51219512,1.639e-05,4.999e-05,0.0002892900000000011
2017-10-30T11:45:12.177,2017-10-29T13:05:02.17,BTC-VTC,23.93776181,0.0008522,5.099e-05,23.93776181,0.00083549,4.999e-05,0.00029902000000000054
2017-10-29T11:35:36.64,2017-10-29T11:05:01.997,BTC-XEL,252.52525252,8.077e-05,5.099e-05,252.52525252,7.919e-05,4.999e-05,0.00029801000000000133
2017-10-29T10:58:12.007,2017-10-29T09:05:02.583,BTC-XEL,258.09781907,7.902e-05,5.099e-05,258.09781907,7.748e-05,4.999e-05,0.0002965000000000016
2017-10-31T14:02:06.687,2017-10-29T08:05:02.763,BTC-FTC,772.49903437,2.639e-05,5.098e-05,772.49903437,2.584e-05,4.99e-05,0.0003250300000000039
2017-10-30T16:26:34.1,2017-10-29T07:05:02.607,BTC-GRS,284.77858465,7.162e-05,5.099e-05,284.77858465,7.022e-05,4.998e-05,0.0002994899999999995
2017-10-29T06:05:31.35,2017-10-29T06:05:02.41,BTC-XMG,371.47102526,5.49e-05,5.099e-05,371.47102526,5.383e-05,4.999e-05,0.0002965000000000016
2017-10-29T03:05:02.507,2017-10-29T03:05:02.46,BTC-XEL,260.14568158,8.099e-05,5.267e-05,260.14568158,7.659e-05,4.981e-05,0.0010421699999999985
2017-10-30T18:18:44.777,2017-10-29T02:05:02.913,BTC-GRS,254.12960609,8.026e-05,5.099e-05,254.12960609,7.869e-05,4.998e-05,0.00029905999999999683
2017-10-29T01:05:02.5,2017-10-29T01:05:02.47,BTC-FTC,816.65986116,2.509e-05,5.124e-05,816.65986116,2.421e-05,4.944e-05,0.0006179800000000006
2017-10-29T00:05:02.323,2017-10-29T00:05:02.01,BTC-FTC,1303.78096479,1.639e-05,5.343e-05,1303.78096479,1.533e-05,4.999e-05,0.0012715699999999996
2017-10-28T23:05:02,2017-10-28T23:05:01.97,BTC-GRS,284.9814762,7.679e-05,5.471e-05,284.9814762,7.017e-05,4.999e-05,0.001781880000000003
2017-10-29T11:16:53.963,2017-10-28T22:05:03.33,BTC-EDG,179.06706061,0.00011391,5.099e-05,179.06706061,0.00011168,4.999e-05,0.0002983400000000011
2017-10-30T12:30:44.26,2017-10-28T21:05:03.273,BTC-BAY,4338.39479392,4.69e-06,5.097e-05,4338.39479392,4.6e-06,4.999e-05,0.00028950000000000156
2017-10-30T13:25:03.62,2017-10-28T20:05:02.603,BTC-FAIR,136.0636778,0.00014991,5.099e-05,136.0636778,0.00014698,4.999e-05,0.00029768999999999976
2017-10-28T19:07:46.6,2017-10-28T19:05:03.287,BTC-ION,58.84083553,0.00034668,5.099e-05,58.84083553,0.00033989,4.999e-05,0.0002985500000000016
2017-10-28T18:06:33.203,2017-10-28T18:05:02.75,BTC-GRS,357.14285714,5.711e-05,5.099e-05,357.14285714,5.599e-05,4.999e-05,0.00029902000000000054
2017-10-28T20:49:25.167,2017-10-28T17:05:09.68,BTC-HMQ,1190.47619047,1.712e-05,5.098e-05,1190.47619047,1.679e-05,4.999e-05,0.000291890000000003
2017-10-28T18:44:09.47,2017-10-28T16:05:02.64,BTC-ION,62.74706657,0.0003251,5.099e-05,62.74706657,0.00031773,4.984e-05,0.0003616100000000018
2017-10-28T15:11:31.14,2017-10-28T13:15:02.903,BTC-GRS,414.93775933,4.915e-05,5.099e-05,414.93775933,4.819e-05,4.999e-05,0.00029737000000000166
2017-10-28T12:28:28.893,2017-10-28T12:05:02.99,BTC-ION,96.86168151,0.00021059,5.099e-05,96.86168151,0.00020647,4.999e-05,0.00029809000000000085
2017-10-28T11:05:02.757,2017-10-28T11:05:02.413,BTC-FTC,1819.83621474,1.147e-05,5.222e-05,1819.83621474,1.098e-05,4.999e-05,0.0007868400000000039
2017-10-28T10:05:15.853,2017-10-28T10:05:02.09,BTC-GRS,500.75112669,4.072e-05,5.098e-05,500.75112669,3.993e-05,4.999e-05,0.00029463000000000406
2017-10-28T09:08:14.363,2017-10-28T09:05:02.407,BTC-FTC,2055.49845837,9.91e-06,5.097e-05,2055.49845837,9.72e-06,4.999e-05,0.0002895899999999993
2017-10-28T19:15:01.14,2017-10-28T04:10:02.23,BTC-FAIR,140.84507042,0.00014483,5.099e-05,140.84507042,0.00014199,4.999e-05,0.00029902999999999874
2017-10-28T03:07:32.677,2017-10-28T03:05:02.907,BTC-GUP,645.16129032,3.161e-05,5.099e-05,645.16129032,3.099e-05,4.999e-05,0.00029902000000000054
2017-10-29T07:47:39.55,2017-10-28T02:10:02.683,BTC-ADT,3502.62697022,5.81e-06,5.096e-05,3502.62697022,5.7e-06,4.993e-05,0.0003075100000000004
2017-10-28T01:35:02.07,2017-10-28T01:05:03.033,BTC-BCY,289.01734104,7.057e-05,5.099e-05,289.01734104,6.919e-05,4.999e-05,0.00029787000000000216
2017-10-28T02:29:35.473,2017-10-28T00:05:02.233,BTC-XZC,7.6341414,0.00267219,5.099e-05,7.6341414,0.0026198,4.999e-05,0.0002989800000000008
2017-10-27T21:05:08.187,2017-10-27T21:05:03.123,BTC-GUP,747.38415545,2.728e-05,5.099e-05,747.38415545,2.672e-05,4.993e-05,0.0003176199999999976
2017-10-28T08:01:40.17,2017-10-27T20:05:02.71,BTC-IOC,30.96119014,0.00065887,5.099e-05,30.96119014,0.00064596,4.999e-05,0.0002987300000000005
2017-10-27T19:05:04.337,2017-10-27T19:05:04.007,BTC-GRS,494.92699826,4.225e-05,5.228e-05,494.92699826,4.007e-05,4.959e-05,0.0009760100000000028
2017-10-27T18:05:04.09,2017-10-27T18:05:03.747,BTC-GRS,571.75528873,3.566e-05,5.098e-05,571.75528873,3.491e-05,4.991e-05,0.0003279300000000006
2017-10-27T20:59:02.13,2017-10-27T10:05:01.957,BTC-GUP,769.82294072,2.648e-05,5.097e-05,769.82294072,2.597e-05,4.999e-05,0.00029165000000000094
2017-10-27T19:23:46.36,2017-10-27T09:05:03.337,BTC-STORJ,198.01980198,0.00010301,5.099e-05,198.01980198,0.00010099,4.999e-05,0.00029902000000000054
2017-10-26T22:18:08.87,2017-10-26T19:05:01.43,BTC-TIX,217.39130434,9.383e-05,5.099e-05,217.39130434,9.192e-05,4.994e-05,0.0003147900000000023
2017-10-26T18:06:23.66,2017-10-26T18:05:01.8,BTC-VTR,610.6870229,3.339e-05,5.099e-05,610.6870229,3.272e-05,4.995e-05,0.00031180999999999917
2017-10-26T17:07:33.893,2017-10-26T16:05:01.257,BTC-PDC,747.94315632,2.726e-05,5.099e-05,747.94315632,2.643e-05,4.94e-05,0.0005261899999999958
2017-10-26T15:07:33.2,2017-10-26T15:05:00.807,BTC-TIX,249.99999999,8.159e-05,5.097e-05,249.99999999,7.999e-05,4.999e-05,0.00029902000000000054
2017-10-27T08:17:58.57,2017-10-26T14:05:01.617,BTC-TX,89.4494387,0.00022805,5.099e-05,89.4494387,0.00022358,4.999e-05,0.0002988600000000015
2017-10-26T12:05:01.647,2017-10-26T12:05:01.54,BTC-TIX,298.50746268,6.949e-05,5.186e-05,298.50746268,6.699e-05,4.999e-05,0.0006444199999999997
2017-10-26T10:13:58.047,2017-10-26T10:05:01.197,BTC-SLS,6.25039064,0.00326378,5.099e-05,6.25039064,0.00319979,4.999e-05,0.00029899000000000245
