sell_closed,sell_opened,market,units_sold,sell_price,sell_commission,units_bought,buy_price,buy_commission,profit
2017-10-16T09:19:27.547,2017-10-16T09:05:02.997,BTC-EMC,80.01280204,0.00012746,2.549e-05,80.01280204,0.00012497,2.499e-05,0.00014875999999999952
2017-10-16T08:23:59.9,2017-10-16T08:05:02.533,BTC-XLM,1474.92625368,6.9e-06,2.547e-05,1474.92625368,6.77e-06,2.499e-05,0.00014128999999999878
2017-10-16T07:27:38.673,2017-10-16T07:05:02.983,BTC-XLM,1644.7368421,6.19e-06,2.549e-05,1644.7368421,6.07e-06,2.499e-05,0.00014689000000000021
2017-10-16T05:12:37.33,2017-10-16T05:05:05.32,BTC-XLM,2057.61316872,4.94e-06,2.546e-05,2057.61316872,4.85e-06,2.499e-05,0.0001347399999999995
2017-10-16T03:29:45.67,2017-10-16T03:05:03.1,BTC-INCNT,339.09799932,3.006e-05,2.548e-05,339.09799932,2.948e-05,2.499e-05,0.00014620999999999905
2017-10-16T01:09:04.237,2017-10-16T01:05:02.787,BTC-PKB,58.82352941,0.00017339,2.549e-05,58.82352941,0.00016999,2.499e-05,0.0001495200000000002
2017-10-16T00:41:02.47,2017-10-15T22:05:02.88,BTC-GBG,352.60930888,2.891e-05,2.549e-05,352.60930888,2.835e-05,2.499e-05,0.00014879999999999928
2017-10-15T21:28:21.033,2017-10-15T21:05:02.637,BTC-OK,261.09660574,3.905e-05,2.549e-05,261.09660574,3.829e-05,2.498e-05,0.00014926999999999996
2017-10-15T20:10:08.917,2017-10-15T20:05:03.34,BTC-TRIG,86.93384334,0.00011732,2.549e-05,86.93384334,0.00011502,2.499e-05,0.00014946999999999877
2017-10-15T19:33:53.153,2017-10-15T17:05:02.857,BTC-TRIG,86.18460742,0.00011834,2.549e-05,86.18460742,0.00011602,2.499e-05,0.00015006999999999868
2017-10-15T15:05:03.08,2017-10-15T15:05:03,BTC-PKB,57.61032377,0.00017833,2.568e-05,57.61032377,0.00017355,2.498e-05,0.00022486000000000034
2017-10-15T14:05:04.65,2017-10-15T14:05:02.883,BTC-GOLOS,398.88312724,2.567e-05,2.56e-05,398.88312724,2.506e-05,2.499e-05,0.0001905999999999991
2017-10-15T10:15:29.36,2017-10-15T10:05:02.78,BTC-TRUST,392.92730844,2.594e-05,2.549e-05,392.92730844,2.531e-05,2.485e-05,0.00019727999999999933
2017-10-15T09:05:02.62,2017-10-15T09:05:02.463,BTC-GUP,319.79533098,3.249e-05,2.598e-05,319.79533098,3.126e-05,2.499e-05,0.00034237999999999803
2017-10-15T08:09:04.53,2017-10-15T08:05:03.09,BTC-SWIFT,29.68680421,0.00034357,2.549e-05,29.68680421,0.0003364,2.495e-05,0.00016247000000000136
2017-10-15T04:05:03.13,2017-10-15T04:05:03.007,BTC-PDC,385.05968425,2.701e-05,2.601e-05,385.05968425,2.519e-05,2.424e-05,0.0006531000000000002
2017-10-15T02:05:02.517,2017-10-15T02:05:02.453,BTC-BLITZ,44.603033,0.00027109,3.022e-05,44.603033,0.00022419,2.499e-05,0.0020370199999999988
2017-10-15T00:05:04.93,2017-10-15T00:05:02.697,BTC-PDC,439.17435221,2.321e-05,2.549e-05,439.17435221,2.276e-05,2.499e-05,0.00014714999999999867
2017-10-14T23:19:47.19,2017-10-14T23:05:03.07,BTC-BAY,2227.1714922,4.56e-06,2.544e-05,2227.1714922,4.41e-06,2.455e-05,0.0002964600000000001
2017-10-14T21:19:15.457,2017-10-14T21:05:03.013,BTC-BLK,276.24309392,3.691e-05,2.549e-05,276.24309392,3.619e-05,2.499e-05,0.0001484199999999998
2017-10-14T20:09:53.217,2017-10-14T20:05:02.657,BTC-MONA,14.70847796,0.00069346,2.549e-05,14.70847796,0.00067987,2.499e-05,0.00014940999999999913
2017-10-14T19:07:01.083,2017-10-14T19:05:03.3,BTC-RBY,37.60953777,0.00027119,2.549e-05,37.60953777,0.00026588,2.499e-05,0.0001492300000000002
2017-10-15T09:27:46.037,2017-10-14T18:05:02.333,BTC-XST,293.34115576,3.476e-05,2.549e-05,293.34115576,3.364e-05,2.465e-05,0.00027952000000000185
2017-10-14T23:51:10.233,2017-10-14T17:05:02.78,BTC-SWIFT,36.24501631,0.0002814,2.549e-05,36.24501631,0.00027589,2.499e-05,0.0001492300000000002
2017-10-14T21:02:50.49,2017-10-14T16:05:03.183,BTC-AEON,28.89254861,0.00035302,2.549e-05,28.89254861,0.0003461,2.499e-05,0.00014945999999999883
2017-10-14T15:05:02.6,2017-10-14T15:05:02.54,BTC-SLS,2.96852179,0.00347333,2.577e-05,2.96852179,0.00335768,2.49e-05,0.00029264000000000026
2017-10-14T18:44:26.26,2017-10-14T14:05:02.61,BTC-NXC,266.66666666,3.823e-05,2.548e-05,266.66666666,3.749e-05,2.499e-05,0.00014685999999999866
2017-10-14T13:57:00.773,2017-10-14T13:05:02.32,BTC-PDC,271.59152634,3.754e-05,2.549e-05,271.59152634,3.681e-05,2.499e-05,0.00014779000000000007
2017-10-14T10:05:02.597,2017-10-14T10:05:02.33,BTC-IOP,14.92425938,0.00070006,2.612e-05,14.92425938,0.00066488,2.48e-05,0.00047411000000000154
2017-10-14T09:08:52.627,2017-10-14T09:05:03.16,BTC-CRB,160.64257028,6.348e-05,2.548e-05,160.64257028,6.183e-05,2.482e-05,0.0002159000000000015
2017-10-14T09:47:21.677,2017-10-14T08:05:03.163,BTC-PDC,349.89503149,2.914e-05,2.549e-05,349.89503149,2.856e-05,2.499e-05,0.0001524600000000001
2017-10-14T07:05:03.18,2017-10-14T07:05:03.133,BTC-SNGLS,327.86885245,3.162e-05,2.592e-05,327.86885245,3.048e-05,2.498e-05,0.00032286999999999767
2017-10-14T06:05:02.857,2017-10-14T06:05:02.653,BTC-SLS,3.38467891,0.00314361,2.659e-05,3.38467891,0.00292385,2.472e-05,0.0006925199999999986
2017-10-14T05:16:33.423,2017-10-14T03:05:03.173,BTC-GBG,410.17227235,2.485e-05,2.549e-05,410.17227235,2.437e-05,2.499e-05,0.0001464099999999996
2017-10-14T03:02:26.81,2017-10-14T02:05:03.393,BTC-VRM,16.07717041,0.00063443,2.549e-05,16.07717041,0.00062199,2.499e-05,0.0001495200000000002
2017-10-14T03:43:35.807,2017-10-14T00:05:02.467,BTC-INCNT,181.71906232,5.612e-05,2.549e-05,181.71906232,5.501e-05,2.499e-05,0.00015122999999999873
2017-10-13T23:05:03.52,2017-10-13T23:05:03.41,BTC-RBY,19.26893654,0.00053109,2.558e-05,19.26893654,0.00051867,2.497e-05,0.0001888299999999992
2017-10-13T22:05:03.393,2017-10-13T22:05:03.253,BTC-RBY,23.10269146,0.00044694,2.581e-05,23.10269146,0.00043284,2.499e-05,0.0002749499999999995
2017-10-13T23:44:14.393,2017-10-13T21:05:02.42,BTC-INCNT,192.60400616,5.294e-05,2.549e-05,192.60400616,5.191e-05,2.499e-05,0.00014790999999999936
2017-10-13T22:19:27.793,2017-10-13T20:05:03.417,BTC-CLAM,8.35596406,0.00122067,2.549e-05,8.35596406,0.00119674,2.499e-05,0.0001494799999999987
2017-10-13T19:21:57.027,2017-10-13T19:05:02.953,BTC-UNO,0.67130313,0.01519431,2.549e-05,0.67130313,0.01489638,2.499e-05,0.0001495200000000002
2017-10-15T13:27:33.203,2017-10-13T18:05:03.223,BTC-PKB,95.23809523,0.00010709,2.549e-05,95.23809523,0.00010499,2.499e-05,0.0001495200000000002
2017-10-13T17:22:53.977,2017-10-13T17:05:03.747,BTC-GEO,37.4433669,0.0002724,2.549e-05,37.4433669,0.00026706,2.499e-05,0.00014946999999999877
2017-10-14T07:10:39.92,2017-10-13T16:05:03.4,BTC-PDC,427.53313381,2.384e-05,2.549e-05,427.53313381,2.338e-05,2.499e-05,0.00014618999999999917
