sell_closed,sell_opened,market,units_sold,sell_price,sell_commission,units_bought,buy_price,buy_commission,profit
2017-10-16T01:09:13.25,2017-10-16T01:05:03.003,BTC-PKB,1176.47058823,0.00017339,0.00050998,1176.47058823,0.00016999,0.00049999,0.0029900300000000046
2017-10-16T00:41:20.55,2017-10-15T22:05:03.253,BTC-GBG,7044.73406128,2.894e-05,0.00050984,7044.73406128,2.838e-05,0.00049992,0.0029574800000000123
2017-10-15T21:28:21.05,2017-10-15T21:05:02.963,BTC-OK,5221.93211488,3.905e-05,0.00050992,5221.93211488,3.829e-05,0.00049999,0.0029587600000000047
2017-10-15T20:14:27.867,2017-10-15T20:05:03.557,BTC-TRIG,1712.91538198,0.00011908,0.00050997,1712.91538198,0.00011515,0.00049312,0.00573280000000001
2017-10-15T19:38:28.24,2017-10-15T17:05:03.293,BTC-TRIG,1709.9863201,0.00011928,0.00050996,1709.9863201,0.00011673,0.00049905,0.0033514899999999848
2017-10-15T15:05:03.36,2017-10-15T15:05:03.25,BTC-PKB,1152.2064754,0.00017799,0.00051273,1152.2064754,0.00017357,0.00049999,0.004080050000000002
2017-10-15T14:30:31.77,2017-10-15T14:05:03.307,BTC-GOLOS,7552.87009063,2.699e-05,0.00050981,7552.87009063,2.641e-05,0.00049884,0.0033735599999999977
2017-10-15T10:26:47.46,2017-10-15T10:05:03.063,BTC-TRUST,7824.72613458,2.606e-05,0.00050997,7824.72613458,2.553e-05,0.00049952,0.0031647900000000007
2017-10-15T09:05:22.853,2017-10-15T09:05:02.73,BTC-GUP,6248.04748516,3.264e-05,0.00050997,6248.04748516,3.147e-05,0.0004916,0.006349529999999992
2017-10-15T08:09:15.043,2017-10-15T08:05:03.307,BTC-SWIFT,591.19125036,0.00034505,0.00050999,591.19125036,0.00033734,0.00049857,0.003554470000000004
2017-10-15T04:05:03.35,2017-10-15T04:05:03.21,BTC-PDC,7616.14623,2.7e-05,0.00051421,7616.14623,2.597e-05,0.00049463,0.00682292000000001
2017-10-15T02:05:02.987,2017-10-15T02:05:02.813,BTC-BLITZ,863.37146557,0.00024958,0.00053869,863.37146557,0.0002288,0.00049378,0.01691240999999999
2017-10-15T00:25:25.55,2017-10-15T00:05:02.947,BTC-PDC,8547.008547,2.385e-05,0.00050982,8547.008547,2.321e-05,0.00049594,0.004538320000000012
2017-10-14T23:29:48.003,2017-10-14T23:05:03.273,BTC-BAY,44444.44444444,4.58e-06,0.00050999,44444.44444444,4.48e-06,0.00049888,0.003435569999999999
2017-10-14T21:44:26.833,2017-10-14T21:05:03.23,BTC-BLK,5412.71989174,3.767e-05,0.00050987,5412.71989174,3.687e-05,0.00049894,0.003351510000000002
2017-10-14T20:42:17.817,2017-10-14T20:05:02.873,BTC-MONA,292.03901641,0.00069852,0.00050999,292.03901641,0.0006834,0.00049892,0.0034089900000000006
2017-10-14T19:07:07.38,2017-10-14T19:05:03.55,BTC-RBY,752.19075557,0.00027119,0.00050998,752.19075557,0.00026588,0.00049999,0.002984170000000008
2017-10-15T10:23:11.953,2017-10-14T18:05:02.583,BTC-XST,5577.24484104,3.656e-05,0.00050989,5577.24484104,3.58e-05,0.00049924,0.00324977999999998
2017-10-14T23:51:29.813,2017-10-14T17:05:03.03,BTC-SWIFT,721.6308858,0.00028268,0.00050998,721.6308858,0.0002762,0.00049827,0.003672990000000015
2017-10-14T21:08:21.583,2017-10-14T16:05:03.48,BTC-AEON,571.44489842,0.00035697,0.00050998,571.44489842,0.00034611,0.00049444,0.0052069299999999985
2017-10-14T13:57:07.99,2017-10-14T13:05:02.54,BTC-PDC,5421.52344808,3.761e-05,0.00050988,5421.52344808,3.683e-05,0.00049927,0.003228240000000021
2017-10-14T10:05:02.987,2017-10-14T10:05:02.677,BTC-IOP,294.13927494,0.00070001,0.00051473,294.13927494,0.00066488,0.00048892,0.00932934000000002
2017-10-14T12:35:23.77,2017-10-14T08:05:03.367,BTC-PDC,6729.47510094,3.03e-05,0.00050992,6729.47510094,2.874e-05,0.00048354,0.00954967000000001
